roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
1,0.351437668,0.369187041,-0.017749373,0.991972254,0,0.812011553,0.827316948,-0.015305395,0.920264276,0,0.100917431,0.247706422,-0.146788991,0.05367205,0
2,0.286900506,0.325359265,-0.038458759,0.989002522,0,0.901796382,0.813353388,0.088442994,0.010061947,1,0.366972477,0.229357798,0.137614679,0.117290526,0
3,0.354525304,0.342237166,0.012288138,1,0,0.862849889,0.828917051,0.033932838,0.644213272,0,0.339449541,0.348623853,-0.009174312,0.991112464,0
4,0.335646798,0.379839046,-0.044192248,0.988031355,0,0.859671019,0.817438983,0.042232036,0.437880357,0,0.256880734,0.28440367,-0.027522936,0.94456275,0
5,0.349957854,0.347003008,0.002954847,1,0,0.894393241,0.806163594,0.088229647,0.008662857,1,0.403669725,0.339449541,0.064220183,0.765280226,0
6,0.388823044,0.392502472,-0.003679428,1,0,0.935163948,0.821129886,0.114034063,0,1,0.642201835,0.339449541,0.302752294,0,1
7,0.49596981,0.388735638,0.107234173,0.798285315,0,0.909860262,0.731683231,0.17817703,0,1,0.330275229,0.110091743,0.220183486,0,1
8,0.236147537,0.384388146,-0.148240609,0.788044364,0,0.748122547,0.748640843,-0.000518296,1,0,0.073394495,0.128440367,-0.055045872,0.651982432,0
9,0.277211487,0.363850581,-0.086639093,0.880513953,0,0.759163253,0.789245178,-0.030081925,0.7210475,0,0.073394495,0.165137615,-0.091743119,0.210345,0
10,0.510817379,0.45591385,0.054903529,0.890267723,0,0.946716786,0.898817108,0.047899677,0.111836066,0,0.577981651,0.467889908,0.110091743,0.334869863,0
11,0.596910575,0.463026446,0.133884129,0.373169231,0,0.972519538,0.907672868,0.06484667,0.006822,1,0.614678899,0.431192661,0.183486239,0.048103846,1
12,0.540815881,0.402197214,0.138618667,0.621595755,0,0.965256541,0.908182552,0.057073989,0.013265,1,0.688073394,0.504587156,0.183486239,0.027811511,1
13,0.335176064,0.280238225,0.054937839,0.941922264,0,0.888707544,0.794813535,0.093894009,0.016242857,1,0.348623853,0.293577982,0.055045872,0.750153516,0
14,0.319320551,0.294292694,0.025027857,0.989002522,0,0.842231566,0.829362046,0.012869521,0.941045839,0,0.275229358,0.293577982,-0.018348624,0.989002522,0
